,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
370,2018,9592,1258,Gerson,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,2018,9600,1258,Gerson,h,MC,76.0,1.0,1.0,3.0,0.0,0.0,0.7667186856269836,0.4767613410949707,4.0,2.7769173979759216,4.0
832,2018,9613,1258,Gerson,a,MC,159.0,1.0,1.0,5.0,1.0,0.0,0.7942237257957458,0.5915110483765602,3.5,2.4741822257637978,-0.5
1085,2018,9580,1258,Gerson,a,MC,219.0,1.0,1.0,6.0,1.0,0.0,0.8343650624155997,0.6047879364341497,3.5,2.607883123680949,0.0
1154,2018,9619,1258,Gerson,h,MC,289.0,1.0,1.0,6.0,1.0,0.0,0.8343650624155997,0.6047879364341497,3.5,2.607883123680949,0.0
1398,2018,9631,1258,Gerson,a,Sub,379.0,1.0,1.0,7.0,1.0,0.0,0.8501592166721819,0.6804377716034651,3.5,2.7309154216200113,0.0
1798,2018,9642,1258,Gerson,h,MC,403.0,1.0,1.0,7.0,1.0,0.0,0.8501592166721819,0.6804377716034651,3.5,2.7309154216200113,0.0
2119,2018,9651,1258,Gerson,a,MC,486.0,1.0,1.0,7.0,1.0,0.0,0.8501592166721819,0.6804377716034651,3.5,2.7309154216200113,0.0
2413,2018,9659,1258,Gerson,h,MC,552.0,1.0,1.0,7.0,2.0,0.0,0.8501592166721819,0.6804377716034651,3.0,2.2309154216200113,-0.5
2573,2018,9675,1258,Gerson,a,Sub,630.0,1.0,1.0,7.0,2.0,0.0,0.8501592166721819,0.6804377716034651,3.0,2.2309154216200113,0.0
2859,2018,9679,1258,Gerson,h,MC,672.0,1.0,1.0,7.0,3.0,0.0,0.8501592166721819,0.7139043603092432,2.5,1.7643820103257895,-0.5
3095,2018,9690,1258,Gerson,a,MC,762.0,1.0,1.0,9.0,3.0,0.0,0.9722877554595468,0.7204839601181448,2.5,2.137347226496786,0.0
3485,2018,9697,1258,Gerson,a,FWR,852.0,1.0,1.0,11.0,3.0,0.0,1.004964906722307,0.7767320736311376,2.5,2.2916267937980592,0.0
3661,2018,9709,1258,Gerson,h,FWR,933.0,1.0,1.0,12.0,3.0,0.0,1.1141629107296465,0.9312393232248724,2.5,2.7737280554138124,0.0
4032,2018,9722,1258,Gerson,a,MR,1014.0,1.0,1.0,13.0,3.0,0.0,1.1622184067964552,1.0573091371916234,2.5,3.0439643575809896,0.0
4261,2018,9731,1258,Gerson,h,MC,1091.0,1.0,1.0,16.0,3.0,0.0,1.2895137816667555,1.0731011698953807,2.5,3.4416425148956478,0.0
4505,2018,9738,1258,Gerson,a,Sub,1181.0,1.0,1.0,18.0,4.0,0.0,1.37037668377161,1.1094639445655048,2.0,3.2205939958803356,-0.5
4850,2018,9750,1258,Gerson,h,Sub,1209.0,1.0,1.0,18.0,4.0,0.0,1.37037668377161,1.1645285966806114,2.0,3.275658647995442,0.0
5397,2018,9768,1258,Gerson,h,MC,1243.0,1.0,1.0,21.0,5.0,0.0,1.4919404983520506,1.2764083477668464,1.5,3.2522298428229988,-0.5
5667,2018,9784,1258,Gerson,a,Sub,1333.0,1.0,1.0,22.0,5.0,0.0,1.5383541658520696,1.5797377559356391,1.5,3.6948002534918487,0.0
5965,2018,9788,1258,Gerson,a,MC,1372.0,1.0,2.0,23.0,5.0,0.0,1.6135706230998037,2.3715512487106025,2.5,4.712263118010014,1.0
6178,2018,9800,1258,Gerson,h,FWL,1432.0,1.0,2.0,23.0,6.0,0.0,1.6135706230998037,2.4034402440302074,2.0,4.244152113329619,-0.5
6499,2018,9815,1258,Gerson,a,FWL,1504.0,1.0,2.0,24.0,6.0,0.0,1.656425844877958,2.448646991979331,2.0,4.417924526613206,0.0
6904,2018,9819,1258,Gerson,h,FWL,1594.0,2.0,2.0,27.0,6.0,0.0,2.190041195601225,2.470311142038554,5.0,6.040434728842229,3.0
7431,2018,9839,1258,Gerson,h,AMC,1684.0,2.0,2.0,31.0,6.0,0.0,2.328162517398596,2.470311142038554,5.0,6.454798694234341,0.0
