,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
269,2018,9588,1119,Alessio Romagnoli,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,2018,9597,1119,Alessio Romagnoli,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1025,2018,9607,1119,Alessio Romagnoli,a,DC,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142681775614619,0.0,0.0142681775614619,0.0
1319,2018,9622,1119,Alessio Romagnoli,h,DC,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142681775614619,0.0,0.0142681775614619,0.0
1641,2018,9629,1119,Alessio Romagnoli,a,DC,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142681775614619,0.0,0.0142681775614619,0.0
1893,2018,9639,1119,Alessio Romagnoli,a,DC,450.0,0.0,0.0,1.0,0.0,0.0,0.066375695168972,0.0142681775614619,0.0,0.2133952630683779,0.0
2451,2018,9666,1119,Alessio Romagnoli,a,DC,540.0,0.0,0.0,1.0,0.0,0.0,0.066375695168972,0.0142681775614619,0.0,0.2133952630683779,0.0
2689,2018,9672,1119,Alessio Romagnoli,h,DC,630.0,0.0,0.0,1.0,0.0,0.0,0.066375695168972,0.0142681775614619,0.0,0.2133952630683779,0.0
2772,2018,9581,1119,Alessio Romagnoli,h,DC,720.0,0.0,0.0,1.0,1.0,0.0,0.066375695168972,0.0142681775614619,-0.5,-0.28660473693162214,-0.5
3065,2018,9686,1119,Alessio Romagnoli,a,DC,810.0,1.0,0.0,2.0,1.0,0.0,0.3143539354205131,0.0258333561941981,2.5,0.4688951624557375,3.0
3328,2018,9696,1119,Alessio Romagnoli,h,DC,900.0,2.0,0.0,3.0,2.0,0.0,0.3988483399152755,0.0258333561941981,5.0,0.22237837594002477,2.5
4440,2018,9729,1119,Alessio Romagnoli,a,DC,990.0,2.0,0.0,3.0,2.0,0.0,0.3988483399152755,0.0258333561941981,5.0,0.22237837594002477,0.0
