,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
156,2018,9584,2058,Filippo Romagna,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,2018,9591,2058,Filippo Romagna,h,DC,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5
689,2018,9603,2058,Filippo Romagna,a,DC,180.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-0.5
1011,2018,9607,2058,Filippo Romagna,h,DC,270.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0
1137,2018,9623,2058,Filippo Romagna,a,DC,360.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0
1963,2018,9648,2058,Filippo Romagna,h,DC,450.0,0.0,0.0,1.0,2.0,0.0,0.104428693652153,0.0,-1.0,-0.686713919043541,0.0
3148,2018,9694,2058,Filippo Romagna,a,DC,540.0,0.0,0.0,1.0,2.0,0.0,0.104428693652153,0.0,-1.0,-0.686713919043541,0.0
3600,2018,9698,2058,Filippo Romagna,h,DC,630.0,0.0,0.0,3.0,2.0,0.0,0.2570919692516326,0.0,-1.0,-0.22872409224510193,0.0
4343,2018,9730,2058,Filippo Romagna,h,DC,720.0,0.0,0.0,3.0,2.0,0.0,0.2570919692516326,0.0,-1.0,-0.22872409224510193,0.0
4468,2018,9737,2058,Filippo Romagna,a,DC,801.0,0.0,0.0,3.0,2.0,0.0,0.2570919692516326,0.0,-1.0,-0.22872409224510193,0.0
5213,2018,9766,2058,Filippo Romagna,a,DC,891.0,0.0,0.0,3.0,2.0,0.0,0.2570919692516326,0.0,-1.0,-0.22872409224510193,0.0
5449,2018,9767,2058,Filippo Romagna,h,DC,981.0,0.0,0.0,3.0,2.0,0.0,0.2570919692516326,0.0,-1.0,-0.22872409224510193,0.0
6088,2018,9789,2058,Filippo Romagna,h,DC,1071.0,0.0,0.0,3.0,2.0,0.0,0.2570919692516326,0.0,-1.0,-0.22872409224510193,0.0
8426,2018,9878,2058,Filippo Romagna,h,DC,1161.0,0.0,0.0,3.0,2.0,0.0,0.2570919692516326,0.0,-1.0,-0.22872409224510193,0.0
8968,2018,9898,2058,Filippo Romagna,h,Sub,1251.0,0.0,0.0,3.0,2.0,0.0,0.2570919692516326,0.0,-1.0,-0.22872409224510193,0.0
9694,2018,9925,2058,Filippo Romagna,a,DC,1280.0,0.0,0.0,3.0,2.0,0.0,0.2570919692516326,0.0,-1.0,-0.22872409224510193,0.0
9765,2018,9932,2058,Filippo Romagna,h,DC,1370.0,0.0,0.0,3.0,2.0,0.0,0.2570919692516326,0.0,-1.0,-0.22872409224510193,0.0
10067,2018,9939,2058,Filippo Romagna,a,Sub,1460.0,0.0,0.0,3.0,2.0,0.0,0.2570919692516326,0.0,-1.0,-0.22872409224510193,0.0
