,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
3015,2019,13217,1296,Stefano Sturaro,a,FWL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3047,2019,13222,1296,Stefano Sturaro,h,MC,76.0,1.0,0.0,2.0,0.0,0.0,0.5296236276626587,0.0,3.0,1.588870882987976,3.0
3360,2019,13233,1296,Stefano Sturaro,a,MC,159.0,1.0,0.0,4.0,1.0,0.0,0.5963607057929039,0.0,3.0,1.2890821173787117,0.0
3992,2019,13262,1296,Stefano Sturaro,h,MC,249.0,1.0,0.0,6.0,1.0,0.0,0.7279940024018288,0.0,3.0,1.6839820072054863,0.0
4338,2019,13271,1296,Stefano Sturaro,a,MC,328.0,1.0,0.0,9.0,2.0,0.0,1.6016248241066933,0.0139015177264809,3.0,3.8187759900465608,0.0
4562,2019,13282,1296,Stefano Sturaro,h,MC,418.0,1.0,0.0,9.0,2.0,0.0,1.6016248241066933,0.0139015177264809,3.0,3.8187759900465608,0.0
4689,2019,13290,1296,Stefano Sturaro,a,MC,508.0,1.0,0.0,10.0,2.0,0.0,1.6175537016242743,0.0139015177264809,3.0,3.8665626225993037,0.0
4964,2019,13299,1296,Stefano Sturaro,a,MC,598.0,1.0,0.0,11.0,3.0,0.0,1.6294521326199174,0.5032154479995369,3.0,3.891571845859289,0.0
5255,2019,13311,1296,Stefano Sturaro,h,MC,688.0,1.0,1.0,11.0,3.0,0.0,1.6294521326199174,0.981404767371714,4.0,4.369761165231466,1.0
5382,2019,13320,1296,Stefano Sturaro,a,MC,778.0,1.0,2.0,11.0,4.0,0.0,1.6294521326199174,0.9993776539340614,5.0,3.8877340517938137,1.0
5847,2019,13343,1296,Stefano Sturaro,a,Sub,868.0,1.0,2.0,12.0,5.0,0.0,1.6977530280128121,1.0912360111251471,5.0,3.6844950951635838,0.0
6173,2019,13352,1296,Stefano Sturaro,h,MC,900.0,1.0,2.0,12.0,5.0,0.0,1.6977530280128121,1.1455750921741126,5.0,3.738834176212549,0.0
6336,2019,13359,1296,Stefano Sturaro,a,MC,990.0,1.0,2.0,14.0,5.0,0.0,1.802927696146071,1.176069096662104,5.0,4.084852185100317,0.0
6575,2019,13372,1296,Stefano Sturaro,h,DML,1080.0,1.0,2.0,17.0,5.0,0.0,2.0033226693049073,1.3497476736083625,5.0,4.859715681523085,0.0
6977,2019,13384,1296,Stefano Sturaro,a,MC,1156.0,1.0,2.0,17.0,6.0,0.0,2.0033226693049073,1.3497476736083625,5.0,4.359715681523085,0.0
