id,isResult,side,h,a,goals,xG,datetime
16991,False,h,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-02-05 14:00:00
17003,False,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-02-13 17:00:00
17011,False,h,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-02-19 17:00:00
17024,False,a,"{'id': '260', 'title': 'Spezia', 'short_title': 'SPE'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-02-27 14:00:00
17033,False,h,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-03-06 00:00:00
17045,False,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-03-13 00:00:00
17053,False,h,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-03-20 00:00:00
17063,False,a,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-04-02 23:00:00
17072,False,h,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-04-09 23:00:00
17082,False,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-04-15 23:00:00
17090,False,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-04-23 23:00:00
17102,False,h,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-04-30 23:00:00
17106,False,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-05-07 23:00:00
17123,False,h,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-05-14 23:00:00
17134,False,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-05-21 23:00:00
