,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB
0,2020,14116,1555,Bartlomiej Dragowski,h,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020,14116,1370,Federico Ceccherini,h,DC,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5
2,2020,14116,6174,Nikola Milenkovic,h,DC,90.0,0.0,0.0,1.0,1.0,0.0,0.011679094284772873,0.0,-0.5,-0.4649627171456814
3,2020,14116,1942,Martín Cáceres,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5613064765930176,0.0,0.5613064765930176
4,2020,14116,1433,Federico Chiesa,h,DMR,86.0,0.0,1.0,2.0,0.0,0.0,0.08358755707740784,0.685295820236206,1.0,0.9360584914684296
5,2020,14116,1164,Cristiano Biraghi,h,DML,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7714135646820068,-0.5,0.27141356468200684
6,2020,14116,1121,Giacomo Bonaventura,h,MC,82.0,0.0,0.0,3.0,0.0,0.0,0.134261816740036,0.03712611272931099,0.0,0.439911562949419
7,2020,14116,7909,Gaetano Castrovilli,h,MC,90.0,1.0,0.0,3.0,0.0,0.0,0.6529296636581421,0.0,3.0,1.9587889909744263
8,2020,14116,1474,Alfred Duncan,h,MC,90.0,0.0,0.0,1.0,0.0,0.0,0.03115140087902546,0.02215893194079399,0.0,0.11561313457787037
9,2020,14116,7091,Christian Kouamé,h,FW,90.0,0.0,0.0,3.0,0.0,0.0,1.2580734491348267,0.03115140087902546,0.0,3.8053717482835054
10,2020,14116,329,Franck Ribéry,h,FW,82.0,0.0,0.0,1.0,0.0,0.0,0.07464655488729477,0.04646144434809685,0.0,0.27040110900998116
11,2020,14116,7084,Dusan Vlahovic,h,Sub,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020,14116,6191,Lorenzo Venuti,h,Sub,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020,14116,1422,Borja Valero,h,Sub,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020,14116,4918,Patrick Cutrone,h,Sub,1.0,0.0,0.0,2.0,0.0,0.0,0.1082930713891983,0.0,0.0,0.3248792141675949
15,2020,14116,1461,Pol Lirola,h,Sub,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09223750978708267,0.0,0.09223750978708267
16,2020,14116,3301,Salvatore Sirigu,a,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020,14116,1096,Armando Izzo,a,DR,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020,14116,6960,Bremer,a,DC,90.0,0.0,0.0,1.0,0.0,0.0,0.04513322561979294,0.0,0.0,0.13539967685937881
19,2020,14116,3387,Nicolas N&#039;Koulou,a,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020,14116,1515,Cristian Ansaldi,a,DL,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020,14116,3739,Soualiho Meité,a,MC,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
