,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
836,2020,15461,9018,M&#039;Bala Nzola,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1116,2020,15474,9018,M&#039;Bala Nzola,a,FW,34.0,0.0,0.0,1.0,0.0,0.0,0.3994337022304535,0.1072464138269424,0.0,1.305547520518303,0.0
1301,2020,15482,9018,M&#039;Bala Nzola,h,FW,116.0,0.0,1.0,3.0,0.0,0.0,0.5451901406049728,0.3329900354146957,1.0,1.9685604572296143,1.0
1536,2020,15487,9018,M&#039;Bala Nzola,a,FW,206.0,0.0,1.0,4.0,0.0,0.0,0.608329527080059,0.5021490454673766,1.0,2.327137626707554,0.0
1740,2020,15503,9018,M&#039;Bala Nzola,h,FW,296.0,2.0,1.0,8.0,0.0,0.0,1.3829054161906242,0.562862068414688,7.0,4.711578316986561,6.0
2125,2020,15509,9018,M&#039;Bala Nzola,a,FW,386.0,2.0,1.0,11.0,0.0,0.0,1.6266843602061272,0.5941540524363516,7.0,5.474207133054733,0.0
2214,2020,15523,9018,M&#039;Bala Nzola,h,FW,476.0,3.0,1.0,12.0,0.0,0.0,2.3879831954836845,0.7066747471690176,10.0,7.870624333620071,3.0
2848,2020,15543,9018,M&#039;Bala Nzola,h,FW,566.0,4.0,1.0,15.0,0.0,0.0,2.879139743745327,0.7066747471690176,13.0,9.344093978404999,3.0
3083,2020,15550,9018,M&#039;Bala Nzola,a,FW,656.0,6.0,1.0,19.0,0.0,0.0,4.326858006417751,1.2135526463389394,19.0,14.194126665592194,6.0
3370,2020,15563,9018,M&#039;Bala Nzola,h,FW,738.0,6.0,1.0,20.0,1.0,0.0,4.359902989119291,1.2135526463389394,19.0,13.793261613696814,0.0
3593,2020,15575,9018,M&#039;Bala Nzola,h,FW,828.0,7.0,1.0,22.0,1.0,0.0,4.530594777315855,1.2389910873025654,22.0,14.33077541925013,3.0
3875,2020,15582,9018,M&#039;Bala Nzola,a,FW,918.0,7.0,1.0,24.0,1.0,0.0,4.631429646164179,1.2389910873025654,22.0,14.633280025795102,0.0
4136,2020,15593,9018,M&#039;Bala Nzola,h,FW,1008.0,8.0,1.0,27.0,1.0,0.0,5.748785350471735,1.2993561606854198,25.0,18.045712212100625,3.0
5670,2020,15664,9018,M&#039;Bala Nzola,h,Sub,1091.0,9.0,1.0,31.0,1.0,0.0,6.793312881141901,1.2993561606854198,28.0,21.179294804111123,3.0
5904,2020,15670,9018,M&#039;Bala Nzola,a,FW,1110.0,9.0,1.0,32.0,2.0,0.0,6.832047514617443,1.2993561606854198,28.0,20.79549870453775,0.0
6116,2020,15677,9018,M&#039;Bala Nzola,h,FW,1182.0,9.0,1.0,33.0,2.0,0.0,6.862023467198014,1.3420623037964103,28.0,20.928132705390453,0.0
6397,2020,15693,9018,M&#039;Bala Nzola,a,FW,1241.0,9.0,1.0,33.0,2.0,0.0,6.862023467198014,1.3420623037964103,28.0,20.928132705390453,0.0
6684,2020,15698,9018,M&#039;Bala Nzola,h,Sub,1321.0,9.0,1.0,33.0,2.0,0.0,6.862023467198014,1.3587880972772834,28.0,20.944858498871326,0.0
6991,2020,15713,9018,M&#039;Bala Nzola,a,Sub,1342.0,9.0,1.0,33.0,2.0,0.0,6.862023467198014,1.3587880972772834,28.0,20.944858498871326,0.0
7153,2020,15719,9018,M&#039;Bala Nzola,h,FW,1360.0,9.0,1.0,33.0,3.0,0.0,6.862023467198014,1.3587880972772834,28.0,20.444858498871326,0.0
7595,2020,15733,9018,M&#039;Bala Nzola,a,FW,1450.0,9.0,1.0,33.0,3.0,0.0,6.862023467198014,1.3587880972772834,28.0,20.444858498871326,0.0
7913,2020,15753,9018,M&#039;Bala Nzola,a,FW,1540.0,9.0,1.0,36.0,3.0,0.0,7.192638272419572,1.3587880972772834,28.0,21.436702914536,0.0
8177,2020,15765,9018,M&#039;Bala Nzola,a,FW,1630.0,9.0,1.0,37.0,4.0,0.0,7.274631576612592,1.3587880972772834,28.0,21.18268282711506,0.0
8940,2020,15795,9018,M&#039;Bala Nzola,h,FW,1720.0,9.0,1.0,38.0,5.0,0.0,7.373124102130532,1.3587880972772834,28.0,20.97816040366888,0.0
9399,2020,15803,9018,M&#039;Bala Nzola,h,FW,1810.0,11.0,1.0,41.0,5.0,0.0,8.400799253955483,1.3587880972772834,34.0,24.061185859143734,6.0
