goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.29656532406806946,90,MC,Cagliari,Fiorentina,1,1,2022-01-23,16976,2021,510077,0.20578959584236145,0,3,0,0.29656532406806946,0.9698754549026489,0.804379403591156
1,3,0.5756406188011169,82,MC,Fiorentina,Genoa,6,0,2022-01-17,16968,2021,508856,0.014628595672547817,0,1,1,0.5756406188011169,2.0317602157592773,1.4561196565628052
0,0,0,90,MC,Torino,Fiorentina,4,0,2022-01-10,16963,2021,507662,0.03623161464929581,0,1,0,0,0.1420661062002182,0.1058344841003418
0,1,0.034809526056051254,90,MC,Verona,Fiorentina,1,1,2021-12-22,16938,2021,504650,0.03206624463200569,0,1,0,0.034809526056051254,0.48611608147621155,0.45404982566833496
1,2,0.28634265065193176,90,MC,Fiorentina,Sassuolo,2,2,2021-12-19,16929,2021,503941,0.3043030798435211,1,1,1,0.28634265065193176,0.8327946066856384,0.24214887619018555
0,0,0,90,MC,Fiorentina,Salernitana,4,0,2021-12-11,16916,2021,501463,0.12426477670669556,0,1,0,0,0.8714718222618103,0.7472070455551147
0,0,0,86,MC,Bologna,Fiorentina,2,3,2021-12-05,16906,2021,500347,0.056503504514694214,0,2,0,0,0.056503504514694214,0.035682886838912964
0,0,0,90,MC,Fiorentina,Sampdoria,3,1,2021-11-30,16898,2021,498616,0.4545518159866333,0,1,0,0,1.0886160135269165,0.634064257144928
0,0,0,88,MC,Empoli,Fiorentina,2,1,2021-11-27,16887,2021,497183,0.01311307679861784,0,1,0,0,0.5619738101959229,0.5619738101959229
0,0,0,90,MC,Fiorentina,AC Milan,4,3,2021-11-20,16878,2021,496091,0.049075473099946976,0,1,0,0,0.049075473099946976,0
0,0,0,68,MC,Juventus,Fiorentina,1,0,2021-11-06,16868,2021,494160,0,0,0,0,0,0.1377141922712326,0.1377141922712326
0,1,0.05546657741069794,77,MC,Fiorentina,Spezia,3,0,2021-10-31,16858,2021,492847,0.03955438360571861,0,1,0,0.05546657741069794,0.3737245798110962,0.31825801730155945
0,1,0.06841979920864105,90,MC,Lazio,Fiorentina,1,0,2021-10-27,16849,2021,491596,0,0,0,0,0.06841979920864105,0.25903162360191345,0.1906118094921112
0,0,0,84,MC,Fiorentina,Cagliari,3,0,2021-10-24,16838,2021,490479,0.04701532423496246,0,2,0,0,0.5158955454826355,0.4858204126358032
0,2,0.06321593374013901,34,Sub,Venezia,Fiorentina,1,0,2021-10-18,16835,2021,489358,0,0,0,0,0.06321593374013901,0,0
0,0,0,24,Sub,Fiorentina,Napoli,1,2,2021-10-03,16819,2021,487536,0,0,0,0,0,0,0
0,1,0.04143635928630829,86,MC,Udinese,Fiorentina,0,1,2021-09-26,16813,2021,485356,0,0,0,0,0.04143635928630829,0.04143635928630829,0
0,0,0,66,MC,Fiorentina,Inter,1,3,2021-09-21,16799,2021,483436,0.03480517119169235,0,1,0,0,0.08471766114234924,0.04991248995065689
0,0,0,70,MC,Atalanta,Fiorentina,1,2,2021-09-11,16776,2021,480636,0,0,0,0,0,0.07577904313802719,0.07577904313802719
