,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
261,2021,16764,1592,João Pedro,h,FWR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583,2021,16774,1592,João Pedro,a,FW,90.0,2.0,0.0,9.0,0.0,0.0,1.7104332447052002,0.0,6.0,5.131299734115601,6.0
757,2021,16778,1592,João Pedro,h,FW,180.0,2.0,1.0,9.0,0.0,0.0,1.7104332447052002,0.0382992960512638,7.0,5.169599030166864,1.0
1185,2021,16791,1592,João Pedro,a,FW,270.0,3.0,1.0,13.0,1.0,0.0,3.218447208404541,0.0382992960512638,9.5,9.193640921264887,2.5
1421,2021,16798,1592,João Pedro,h,FW,360.0,4.0,2.0,14.0,1.0,0.0,3.5126835703849792,0.9200646616518497,13.5,10.958115372806787,4.0
1846,2021,16815,1592,João Pedro,a,FW,450.0,4.0,2.0,16.0,1.0,0.0,3.6612437814474106,0.96422228962183,13.5,11.447953633964062,0.0
1892,2021,16818,1592,João Pedro,h,FW,540.0,4.0,2.0,16.0,1.0,0.0,3.6612437814474106,0.96422228962183,13.5,11.447953633964062,0.0
2292,2021,16826,1592,João Pedro,h,FW,630.0,4.0,2.0,18.0,1.0,0.0,3.6934885792434216,1.0079674012959003,13.5,11.588433139026165,0.0
2704,2021,16838,1592,João Pedro,a,FW,720.0,6.0,2.0,20.0,1.0,0.0,4.651890438050032,1.055153001099825,19.5,14.51082431524992,6.0
2998,2021,16846,1592,João Pedro,h,FW,810.0,6.0,2.0,21.0,1.0,0.0,4.734206039458513,1.055153001099825,19.5,14.757771119475365,0.0
3416,2021,16857,1592,João Pedro,a,FW,900.0,6.0,2.0,22.0,2.0,0.0,4.755888495594263,1.055153001099825,19.0,14.322818487882614,-0.5
3525,2021,16866,1592,João Pedro,h,FW,990.0,6.0,2.0,22.0,3.0,0.0,4.755888495594263,1.055153001099825,18.5,13.822818487882614,-0.5
3844,2021,16884,1592,João Pedro,a,FW,1080.0,7.0,2.0,23.0,3.0,0.0,4.895327541977167,1.1181992776691914,21.5,14.304181903600693,3.0
4042,2021,16886,1592,João Pedro,h,FW,1170.0,8.0,2.0,27.0,3.0,0.0,5.835311684757471,1.1181992776691914,24.5,17.124134331941605,3.0
4429,2021,16900,1592,João Pedro,a,FW,1260.0,8.0,3.0,34.0,3.0,0.0,6.206545148044825,1.8981818445026875,25.5,19.01781728863716,1.0
4940,2021,16907,1592,João Pedro,h,FW,1350.0,8.0,3.0,36.0,3.0,0.0,6.2546004466712475,1.9265673160552979,25.5,19.19036865606904,0.0
5236,2021,16919,1592,João Pedro,a,FW,1440.0,9.0,3.0,40.0,3.0,0.0,6.824378948658705,2.040041781961918,28.5,21.013178627938032,3.0
5408,2021,16928,1592,João Pedro,h,FW,1530.0,9.0,3.0,41.0,3.0,0.0,6.855567971244454,2.1349045038223267,28.5,21.20160841755569,0.0
5642,2021,16940,1592,João Pedro,a,FW,1620.0,9.0,3.0,42.0,3.0,0.0,6.871598733589053,2.236751861870289,28.5,21.35154806263745,0.0
5885,2021,16953,1592,João Pedro,a,FW,1710.0,9.0,3.0,43.0,3.0,0.0,7.313296688720584,2.236751861870289,28.5,22.67664192803204,0.0
6320,2021,16956,1592,João Pedro,h,FW,1800.0,9.0,3.0,47.0,4.0,0.0,7.874196065589786,2.236751861870289,28.0,23.859340058639646,-0.5
6514,2021,16971,1592,João Pedro,a,FW,1890.0,9.0,4.0,49.0,4.0,0.0,7.9604836236685514,2.337515667080879,29.0,24.218966538086534,1.0
