,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
214,2021,16762,9882,Dennis Johnsen,a,FWR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,2021,16766,9882,Dennis Johnsen,a,FWL,90.0,0.0,0.0,1.0,0.0,0.0,0.0464977212250232,0.4297036528587341,0.0,0.5691968165338039,0.0
648,2021,16779,9882,Dennis Johnsen,a,FWL,161.0,0.0,0.0,2.0,0.0,0.0,0.3882440514862536,0.7054575085639953,0.0,1.8701896630227566,0.0
1104,2021,16795,9882,Dennis Johnsen,h,ML,251.0,0.0,0.0,4.0,1.0,0.0,0.7713496871292589,0.7054575085639953,-0.5,2.5195065699517727,-0.5
1469,2021,16800,9882,Dennis Johnsen,a,FWL,341.0,0.0,0.0,5.0,1.0,0.0,0.8096921220421789,1.1603323519229887,-0.5,3.089408718049526,0.0
1860,2021,16814,9882,Dennis Johnsen,h,FW,415.0,0.0,0.0,6.0,1.0,0.0,0.8277387060225007,1.1603323519229887,-0.5,3.143548469990492,0.0
1902,2021,16818,9882,Dennis Johnsen,a,MR,503.0,0.0,0.0,7.0,1.0,0.0,0.9602442421019074,1.1603323519229887,-0.5,3.541065078228712,0.0
2472,2021,16835,9882,Dennis Johnsen,h,AMC,584.0,0.0,0.0,10.0,2.0,0.0,1.0663206763565536,1.348203122615814,-1.0,3.5471651516854763,-0.5
3874,2021,16877,9882,Dennis Johnsen,a,FW,634.0,0.0,0.0,10.0,2.0,0.0,1.0663206763565536,1.348203122615814,-1.0,3.5471651516854763,0.0
4166,2021,16895,9882,Dennis Johnsen,h,Sub,688.0,0.0,0.0,10.0,2.0,0.0,1.0663206763565536,1.348203122615814,-1.0,3.5471651516854763,0.0
4368,2021,16896,9882,Dennis Johnsen,a,FW,716.0,0.0,0.0,11.0,2.0,0.0,1.124465554952621,1.348203122615814,-1.0,3.7215997874736786,0.0
4818,2021,16915,9882,Dennis Johnsen,h,Sub,787.0,0.0,0.0,11.0,2.0,0.0,1.124465554952621,1.348203122615814,-1.0,3.7215997874736786,0.0
5034,2021,16925,9882,Dennis Johnsen,h,FW,871.0,0.0,1.0,11.0,2.0,0.0,1.124465554952621,1.9483306407928465,0.0,4.321727305650711,1.0
5515,2021,16933,9882,Dennis Johnsen,a,FW,930.0,0.0,1.0,11.0,2.0,0.0,1.124465554952621,2.021864794194698,0.0,4.395261459052563,0.0
5694,2021,16945,9882,Dennis Johnsen,h,Sub,999.0,0.0,1.0,11.0,2.0,0.0,1.124465554952621,2.1233512237668033,0.0,4.496747888624668,0.0
6050,2021,16965,9882,Dennis Johnsen,h,Sub,1013.0,0.0,1.0,12.0,2.0,0.0,1.1504415273666377,2.1233512237668033,0.0,4.574675805866718,0.0
