,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
262,2021,16766,9904,Gianluca Busio,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,2021,16779,9904,Gianluca Busio,a,MC,90.0,0.0,0.0,1.0,0.0,0.0,0.0667621195316314,0.0937450975179672,0.0,0.2940314561128616,0.0
888,2021,16795,9904,Gianluca Busio,h,MC,180.0,0.0,0.0,1.0,0.0,0.0,0.0667621195316314,0.1466455161571502,0.0,0.34693187475204457,0.0
1177,2021,16800,9904,Gianluca Busio,a,MC,258.0,0.0,1.0,3.0,1.0,0.0,0.1614168137311934,0.23222935199737543,1.0,0.21647979319095606,1.0
1505,2021,16814,9904,Gianluca Busio,h,MC,348.0,0.0,1.0,3.0,1.0,0.0,0.1614168137311934,0.23222935199737543,1.0,0.21647979319095606,0.0
1542,2021,16818,9904,Gianluca Busio,a,MC,435.0,0.0,1.0,3.0,1.0,0.0,0.1614168137311934,0.23222935199737543,1.0,0.21647979319095606,0.0
2010,2021,16835,9904,Gianluca Busio,h,MC,525.0,1.0,1.0,5.0,1.0,0.0,0.2834721207618712,0.25361313857138146,4.0,0.6040295008569955,3.0
2129,2021,16844,9904,Gianluca Busio,a,MC,615.0,1.0,1.0,6.0,1.0,0.0,0.37426814436912526,0.25361313857138146,4.0,0.8764175716787576,0.0
2323,2021,16855,9904,Gianluca Busio,h,MC,663.0,1.0,1.0,6.0,1.0,0.0,0.37426814436912526,0.25361313857138146,4.0,0.8764175716787576,0.0
2690,2021,16859,9904,Gianluca Busio,a,MC,753.0,1.0,1.0,7.0,2.0,0.0,0.42963402718305577,0.37544744648039324,4.0,0.6643495280295609,0.0
2897,2021,16875,9904,Gianluca Busio,h,MC,843.0,1.0,1.0,8.0,2.0,0.0,0.4900098703801631,0.37544744648039324,4.0,0.8454770576208828,0.0
3144,2021,16877,9904,Gianluca Busio,a,MC,933.0,1.0,1.0,8.0,2.0,0.0,0.4900098703801631,0.8573398534208534,4.0,1.327369464561343,0.0
3375,2021,16895,9904,Gianluca Busio,h,MC,1013.0,1.0,2.0,8.0,3.0,0.0,0.4900098703801631,1.3168470207601783,5.0,1.286876631900668,1.0
3533,2021,16896,9904,Gianluca Busio,a,MC,1103.0,1.0,2.0,8.0,3.0,0.0,0.4900098703801631,1.36401074193418,5.0,1.3340403530746696,0.0
3902,2021,16915,9904,Gianluca Busio,h,Sub,1161.0,1.0,2.0,9.0,3.0,0.0,0.49889801628887637,1.36401074193418,5.0,1.3607047908008096,0.0
4078,2021,16925,9904,Gianluca Busio,h,MC,1184.0,1.0,2.0,9.0,3.0,0.0,0.49889801628887637,1.36401074193418,5.0,1.3607047908008096,0.0
4469,2021,16933,9904,Gianluca Busio,a,MC,1274.0,1.0,2.0,11.0,3.0,0.0,0.5581504870206115,1.3701510485261676,5.0,1.544602509588003,0.0
4613,2021,16945,9904,Gianluca Busio,h,Sub,1343.0,1.0,2.0,11.0,3.0,0.0,0.5581504870206115,1.3701510485261676,5.0,1.544602509588003,0.0
4893,2021,16965,9904,Gianluca Busio,h,MC,1376.0,1.0,2.0,11.0,3.0,0.0,0.5581504870206115,1.3835382694378493,5.0,1.5579897304996846,0.0
