,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
961,2021,16793,5353,Josip Brekalo,a,AMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1516,2021,16805,5353,Josip Brekalo,h,AMC,78.0,0.0,0.0,4.0,0.0,0.0,0.4978521764278412,0.8122102618217468,0.0,2.3057667911052704,0.0
1876,2021,16814,5353,Josip Brekalo,a,AMC,154.0,0.0,0.0,7.0,1.0,0.0,0.5929551497101783,0.8122102618217468,-0.5,2.091075710952282,-0.5
1952,2021,16825,5353,Josip Brekalo,h,AMC,234.0,1.0,0.0,8.0,1.0,0.0,1.0810929015278814,0.8122102618217468,2.5,3.5554889664053917,3.0
2429,2021,16832,5353,Josip Brekalo,a,FW,318.0,1.0,0.0,9.0,1.0,0.0,1.108527274802327,1.056219831109047,2.5,3.8818016555160284,0.0
2502,2021,16845,5353,Josip Brekalo,h,AMC,408.0,1.0,0.0,12.0,1.0,0.0,1.7744872886687515,1.1338112875819206,2.5,5.957273153588176,0.0
2886,2021,16850,5353,Josip Brekalo,a,AMC,498.0,2.0,0.0,15.0,1.0,0.0,2.6080635506659746,1.1338112875819206,5.5,8.458001939579844,3.0
4010,2021,16885,5353,Josip Brekalo,h,AMC,588.0,2.0,0.0,15.0,1.0,0.0,2.6080635506659746,1.2613572254776955,5.5,8.58554787747562,0.0
4303,2021,16891,5353,Josip Brekalo,a,AMC,671.0,3.0,0.0,17.0,1.0,0.0,2.655299970880151,1.7914142981171608,8.5,9.257314210757613,3.0
4954,2021,16907,5353,Josip Brekalo,a,AMC,761.0,3.0,0.0,19.0,1.0,0.0,2.7132318522781134,2.0473313704133034,8.5,9.687026927247643,0.0
5099,2021,16923,5353,Josip Brekalo,h,Sub,818.0,3.0,0.0,19.0,1.0,0.0,2.7132318522781134,2.0473313704133034,8.5,9.687026927247643,0.0
5533,2021,16935,5353,Josip Brekalo,h,Sub,825.0,3.0,0.0,19.0,1.0,0.0,2.7132318522781134,2.0473313704133034,8.5,9.687026927247643,0.0
5763,2021,16939,5353,Josip Brekalo,a,AMC,850.0,3.0,0.0,19.0,1.0,0.0,2.7132318522781134,2.0473313704133034,8.5,9.687026927247643,0.0
6289,2021,16963,5353,Josip Brekalo,h,AMC,926.0,3.0,0.0,20.0,1.0,0.0,2.7922628577798605,2.202823780477047,8.5,10.079612353816628,0.0
6364,2021,16973,5353,Josip Brekalo,a,AMC,1006.0,5.0,0.0,24.0,1.0,0.0,3.960164016112685,2.2302952371537685,14.5,13.610787285491824,6.0
