,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
31,2021,16757,189,Hakan Calhanoglu,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,2021,16767,189,Hakan Calhanoglu,a,MC,80.0,1.0,1.0,1.0,0.0,0.0,0.0294162239879369,0.3639615774154663,4.0,0.4522102493792772,4.0
584,2021,16783,189,Hakan Calhanoglu,a,MC,168.0,1.0,1.0,3.0,0.0,0.0,0.0754925962537526,0.5643609762191772,4.0,0.7908387649804353,0.0
1078,2021,16799,189,Hakan Calhanoglu,a,MC,238.0,1.0,1.0,5.0,0.0,0.0,0.1574073340743779,0.5643609762191772,4.0,1.036582978442311,0.0
1298,2021,16808,189,Hakan Calhanoglu,h,MC,322.0,1.0,2.0,7.0,1.0,0.0,0.3236165102571248,0.9683091640472412,5.0,1.4391586948186157,1.0
1618,2021,16824,189,Hakan Calhanoglu,a,MC,379.0,1.0,2.0,10.0,2.0,0.0,0.38967814110219456,0.9683091640472412,5.0,1.1373435873538253,0.0
2274,2021,16840,189,Hakan Calhanoglu,h,MC,436.0,1.0,2.0,10.0,2.0,0.0,0.38967814110219456,1.1112257540225983,5.0,1.2802601773291824,0.0
2624,2021,16861,189,Hakan Calhanoglu,h,MC,500.0,1.0,2.0,12.0,2.0,0.0,0.4269288871437309,1.456800639629364,5.0,1.7375873010605571,0.0
3030,2021,16870,189,Hakan Calhanoglu,a,MC,571.0,1.0,2.0,12.0,2.0,0.0,0.4269288871437309,1.7681991755962372,5.0,2.04898583702743,0.0
3185,2021,16881,189,Hakan Calhanoglu,h,MC,661.0,2.0,2.0,17.0,2.0,0.0,1.2965117786079643,1.8302525095641613,8.0,4.719787845388055,3.0
3389,2021,16895,189,Hakan Calhanoglu,a,MC,724.0,3.0,3.0,19.0,3.0,0.0,2.113790163770318,2.108459275215864,12.0,6.949829766526818,4.0
3646,2021,16901,189,Hakan Calhanoglu,h,MC,782.0,4.0,3.0,23.0,3.0,0.0,2.3290309850126505,2.177448596805334,15.0,7.664541551843286,3.0
3813,2021,16912,189,Hakan Calhanoglu,a,MC,852.0,4.0,3.0,26.0,3.0,0.0,2.7621083203703165,2.4320853613317013,15.0,9.21841032244265,0.0
4228,2021,16919,189,Hakan Calhanoglu,h,MC,937.0,5.0,4.0,28.0,3.0,0.0,2.8474829588085413,2.8333884738385677,19.0,9.875837350264192,4.0
4318,2021,16932,189,Hakan Calhanoglu,a,MC,1013.0,6.0,5.0,31.0,3.0,0.0,3.434337118640542,3.0262617729604244,23.0,11.82927312888205,4.0
4657,2021,16939,189,Hakan Calhanoglu,h,MC,1103.0,6.0,7.0,33.0,4.0,0.0,3.576600546017289,4.348634924739599,25.0,13.078436562791467,2.0
5284,2021,16966,189,Hakan Calhanoglu,a,MC,1172.0,6.0,7.0,35.0,5.0,0.0,3.6512825656682253,4.6793427132070065,25.0,13.133190410211682,0.0
