,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
207,2015,558,1344,Nicolas Frey,a,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,2015,568,1344,Nicolas Frey,h,DR,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,2015,573,1344,Nicolas Frey,a,DR,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
891,2015,583,1344,Nicolas Frey,h,DR,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1255,2015,596,1344,Nicolas Frey,h,DR,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224487818777561,0.0,0.0224487818777561,0.0
1703,2015,612,1344,Nicolas Frey,h,DR,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414796285331249,0.0,0.0414796285331249,0.0
2609,2015,644,1344,Nicolas Frey,a,DR,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414796285331249,0.0,0.0414796285331249,0.0
3503,2015,676,1344,Nicolas Frey,a,DR,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414796285331249,0.0,0.0414796285331249,0.0
3767,2015,686,1344,Nicolas Frey,h,DR,679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414796285331249,0.0,0.0414796285331249,0.0
4771,2015,722,1344,Nicolas Frey,h,DL,769.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0414796285331249,-0.5,-0.4585203714668751,-0.5
5145,2015,735,1344,Nicolas Frey,a,DR,859.0,0.0,0.0,1.0,1.0,0.0,0.0389126241207122,0.0414796285331249,-0.5,-0.3417824991047383,0.0
5798,2015,758,1344,Nicolas Frey,a,Sub,949.0,0.0,0.0,1.0,2.0,0.0,0.0389126241207122,0.0414796285331249,-1.0,-0.8417824991047382,-0.5
5938,2015,764,1344,Nicolas Frey,h,DR,972.0,0.0,0.0,1.0,2.0,0.0,0.0389126241207122,0.0414796285331249,-1.0,-0.8417824991047382,0.0
6232,2015,774,1344,Nicolas Frey,a,DR,1062.0,0.0,0.0,1.0,2.0,0.0,0.0389126241207122,0.0414796285331249,-1.0,-0.8417824991047382,0.0
6595,2015,787,1344,Nicolas Frey,a,DR,1152.0,0.0,0.0,1.0,2.0,0.0,0.0389126241207122,0.0414796285331249,-1.0,-0.8417824991047382,0.0
6774,2015,794,1344,Nicolas Frey,h,DR,1242.0,0.0,0.0,1.0,2.0,0.0,0.0389126241207122,0.0414796285331249,-1.0,-0.8417824991047382,0.0
7012,2015,802,1344,Nicolas Frey,a,DL,1299.0,0.0,0.0,1.0,2.0,0.0,0.0389126241207122,0.0956668555736541,-1.0,-0.787595272064209,0.0
7369,2015,815,1344,Nicolas Frey,h,Sub,1389.0,0.0,0.0,1.0,3.0,0.0,0.0389126241207122,0.0956668555736541,-1.5,-1.287595272064209,-0.5
7594,2015,823,1344,Nicolas Frey,a,DR,1396.0,0.0,0.0,1.0,3.0,0.0,0.0389126241207122,0.0956668555736541,-1.5,-1.287595272064209,0.0
