,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1881,2015,618,1495,Abdoulay Konko,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4407,2015,709,1495,Abdoulay Konko,h,DR,25.0,0.0,0.0,1.0,0.0,0.0,0.065620444715023,0.0526364743709564,0.0,0.2494978085160255,0.0
4698,2015,719,1495,Abdoulay Konko,a,DR,115.0,0.0,0.0,1.0,0.0,0.0,0.065620444715023,0.0526364743709564,0.0,0.2494978085160255,0.0
4880,2015,726,1495,Abdoulay Konko,h,DR,205.0,0.0,0.0,1.0,0.0,0.0,0.065620444715023,0.0526364743709564,0.0,0.2494978085160255,0.0
5034,2015,731,1495,Abdoulay Konko,a,DR,295.0,0.0,0.0,4.0,0.0,0.0,0.1037912555038928,0.0526364743709564,0.0,0.364010240882635,0.0
5397,2015,744,1495,Abdoulay Konko,a,DR,385.0,0.0,0.0,4.0,1.0,0.0,0.1037912555038928,0.0526364743709564,-0.5,-0.135989759117365,-0.5
5773,2015,758,1495,Abdoulay Konko,h,DR,475.0,0.0,0.0,4.0,1.0,0.0,0.1037912555038928,0.0526364743709564,-0.5,-0.135989759117365,0.0
5983,2015,765,1495,Abdoulay Konko,a,DL,545.0,0.0,0.0,4.0,1.0,0.0,0.1037912555038928,0.0730017349123954,-0.5,-0.115624498575926,0.0
6305,2015,777,1495,Abdoulay Konko,h,DL,635.0,0.0,0.0,7.0,1.0,0.0,0.4717446751892565,0.0730017349123954,-0.5,0.9882357604801653,0.0
6458,2015,782,1495,Abdoulay Konko,a,DL,725.0,0.0,0.0,8.0,1.0,0.0,0.5283899828791616,0.0876437807455658,-0.5,1.1728137293830512,0.0
6692,2015,791,1495,Abdoulay Konko,h,DR,815.0,0.0,0.0,8.0,1.0,0.0,0.5283899828791616,0.0876437807455658,-0.5,1.1728137293830512,0.0
7177,2015,808,1495,Abdoulay Konko,a,DR,905.0,0.0,0.0,9.0,1.0,0.0,0.5411199098452923,0.0876437807455658,-0.5,1.2110035102814434,0.0
7469,2015,819,1495,Abdoulay Konko,h,DR,995.0,0.0,0.0,10.0,1.0,0.0,0.5686308993026612,0.1201034495607017,-0.5,1.3259961474686859,0.0
7622,2015,824,1495,Abdoulay Konko,a,DR,1085.0,0.0,0.0,10.0,1.0,0.0,0.5686308993026612,0.21570146176964028,-0.5,1.4215941596776245,0.0
9578,2015,894,1495,Abdoulay Konko,a,DL,1175.0,0.0,0.0,10.0,2.0,0.0,0.5686308993026612,0.21570146176964028,-1.0,0.9215941596776245,-0.5
9953,2015,908,1495,Abdoulay Konko,h,DL,1258.0,0.0,0.0,11.0,3.0,0.0,0.5826714150607583,0.33492408785968997,-1.5,0.5829383330419657,-0.5
10246,2015,918,1495,Abdoulay Konko,a,DL,1348.0,0.0,0.0,11.0,3.0,0.0,0.5826714150607583,0.33492408785968997,-1.5,0.5829383330419657,0.0
10537,2015,929,1495,Abdoulay Konko,h,DR,1438.0,0.0,0.0,12.0,3.0,0.0,0.6475320942699906,0.40977633092552396,-1.5,0.8523726137354968,0.0
