,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
6,2017,7499,1290,Miralem Pjanic,h,DMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,2017,7509,1290,Miralem Pjanic,a,DMC,90.0,0.0,1.0,1.0,0.0,0.0,0.039164163172245,0.3375642001628876,1.0,0.4550566896796226,1.0
565,2017,7525,1290,Miralem Pjanic,h,MC,176.0,0.0,2.0,4.0,1.0,0.0,0.20203056186437598,0.8534182608127594,1.5,0.9595099464058876,0.5
914,2017,7536,1290,Miralem Pjanic,a,DMC,266.0,0.0,3.0,5.0,1.0,0.0,0.23854286223649968,1.4388154447078705,2.5,1.6544440314173698,1.0
1268,2017,7545,1290,Miralem Pjanic,h,Sub,356.0,0.0,3.0,7.0,1.0,0.0,0.2996677421033381,1.4898888692259789,2.5,1.8888920955359936,0.0
1430,2017,7554,1290,Miralem Pjanic,h,MC,371.0,0.0,3.0,9.0,1.0,0.0,0.3854991607367991,1.4898888692259789,2.5,2.1463863514363766,0.0
2419,2017,7588,1290,Miralem Pjanic,a,DMC,461.0,1.0,5.0,11.0,1.0,0.0,0.45932034030556657,1.7060310617089272,7.5,2.5839920826256275,5.0
2691,2017,7596,1290,Miralem Pjanic,h,Sub,551.0,2.0,5.0,14.0,1.0,0.0,0.5723828710615633,2.058800645172596,10.5,3.2759492583572865,3.0
2782,2017,7602,1290,Miralem Pjanic,a,DMC,582.0,2.0,5.0,14.0,1.0,0.0,0.5723828710615633,2.285028539597988,10.5,3.5021771527826786,0.0
3424,2017,7625,1290,Miralem Pjanic,a,DMC,672.0,2.0,5.0,15.0,1.0,0.0,0.6177147030830381,2.37892709672451,10.5,3.732071205973625,0.0
3806,2017,7634,1290,Miralem Pjanic,h,Sub,754.0,2.0,5.0,16.0,1.0,0.0,0.6762615181505677,2.4134330190718174,10.5,3.9422175735235214,0.0
3898,2017,7645,1290,Miralem Pjanic,a,MC,775.0,2.0,5.0,16.0,1.0,0.0,0.6762615181505677,2.4543317258358,10.5,3.983116280287504,0.0
4160,2017,7652,1290,Miralem Pjanic,h,MC,865.0,2.0,5.0,16.0,1.0,0.0,0.6762615181505677,2.781745493412018,10.5,4.310530047863722,0.0
4536,2017,7661,1290,Miralem Pjanic,a,MC,951.0,2.0,5.0,20.0,1.0,0.0,0.7708957158029076,2.891141079366207,10.5,4.703828226774931,0.0
4939,2017,7672,1290,Miralem Pjanic,h,MC,1037.0,3.0,6.0,22.0,1.0,0.0,0.8527085892856117,3.084288604557514,14.5,5.1424143724143505,4.0
5510,2017,7694,1290,Miralem Pjanic,a,MC,1127.0,3.0,6.0,26.0,1.0,0.0,1.0075211934745307,3.5198859944939613,14.5,6.042449574917555,0.0
5774,2017,7703,1290,Miralem Pjanic,h,MC,1217.0,3.0,6.0,30.0,1.0,0.0,1.220797043293714,3.7866852656006813,14.5,6.949076395481825,0.0
6040,2017,7715,1290,Miralem Pjanic,a,MC,1307.0,3.0,6.0,36.0,1.0,0.0,1.589840423315763,3.9417538419365883,14.5,8.211275111883879,0.0
6305,2017,7726,1290,Miralem Pjanic,h,MC,1397.0,3.0,6.0,38.0,1.0,0.0,1.704226460307836,4.147959031164646,14.5,8.760638412088156,0.0
6432,2017,7735,1290,Miralem Pjanic,a,MC,1487.0,4.0,7.0,39.0,1.0,0.0,1.7530898414552207,4.688507296144962,18.5,9.447776820510626,4.0
6793,2017,7746,1290,Miralem Pjanic,a,MC,1577.0,4.0,7.0,39.0,1.0,0.0,1.7530898414552207,4.688507296144962,18.5,9.447776820510626,0.0
7269,2017,7765,1290,Miralem Pjanic,a,MC,1667.0,4.0,7.0,40.0,1.0,0.0,1.7908373884856696,4.775913022458553,18.5,9.648425187915564,0.0
7587,2017,7756,1290,Miralem Pjanic,h,DMC,1757.0,4.0,7.0,40.0,1.0,0.0,1.7908373884856696,5.2313898131251335,18.5,10.103901978582144,0.0
7657,2017,7786,1290,Miralem Pjanic,a,DMC,1847.0,4.0,7.0,42.0,1.0,0.0,1.9594888202846046,5.277587380260229,18.5,10.656053841114044,0.0
8145,2017,7792,1290,Miralem Pjanic,h,MC,1937.0,4.0,7.0,43.0,2.0,0.0,2.010860741138458,5.277587380260229,18.0,10.310169603675604,-0.5
8381,2017,7806,1290,Miralem Pjanic,a,MC,2013.0,4.0,8.0,44.0,2.0,0.0,2.0789180174469943,5.301450535655022,19.0,10.538204587996006,1.0
8865,2017,7815,1290,Miralem Pjanic,h,MC,2103.0,4.0,8.0,46.0,2.0,0.0,2.16949214041233,5.848641142249107,19.0,11.3571175634861,0.0
9425,2017,7835,1290,Miralem Pjanic,h,DMC,2145.0,4.0,8.0,46.0,2.0,0.0,2.16949214041233,5.848641142249107,19.0,11.3571175634861,0.0
9524,2017,7842,1290,Miralem Pjanic,a,MC,2235.0,4.0,8.0,47.0,3.0,0.0,2.2314249947667117,5.912080459296703,18.5,11.10635544359684,-0.5
10276,2017,7862,1290,Miralem Pjanic,a,DMC,2322.0,4.0,8.0,49.0,4.0,0.0,2.2998114526271816,5.959259994328022,18.0,10.858694352209568,-0.5
10316,2017,7874,1290,Miralem Pjanic,h,MC,2412.0,4.0,8.0,50.0,5.0,0.0,2.329907096922397,5.959259994328022,17.5,10.448981285095215,-0.5
