,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
188,2017,7505,1502,Marco D&#039;Alessandro,a,ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,2017,7515,1502,Marco D&#039;Alessandro,h,ML,90.0,0.0,0.0,1.0,0.0,0.0,0.026377722620964,0.130890741944313,0.0,0.2100239098072052,0.0
762,2017,7520,1502,Marco D&#039;Alessandro,h,ML,180.0,0.0,0.0,2.0,0.0,0.0,0.0703319385647773,0.3346838951110839,0.0,0.5456797108054161,0.0
1741,2017,7560,1502,Marco D&#039;Alessandro,h,ML,248.0,0.0,0.0,3.0,0.0,0.0,0.1227511204779147,0.3545378316193818,0.0,0.7227911930531263,0.0
3386,2017,7619,1502,Marco D&#039;Alessandro,h,ML,338.0,1.0,0.0,7.0,0.0,0.0,1.051112178713083,0.3706156965345143,3.0,3.5239522326737642,3.0
3846,2017,7629,1502,Marco D&#039;Alessandro,a,FWL,399.0,1.0,0.0,7.0,0.0,0.0,1.051112178713083,0.3706156965345143,3.0,3.5239522326737642,0.0
3939,2017,7639,1502,Marco D&#039;Alessandro,h,MR,465.0,1.0,0.0,7.0,0.0,0.0,1.051112178713083,0.3706156965345143,3.0,3.5239522326737642,0.0
4283,2017,7658,1502,Marco D&#039;Alessandro,a,DMR,555.0,1.0,0.0,8.0,1.0,0.0,1.1106883771717546,0.7185918446630238,2.5,3.5506569761782885,-0.5
4637,2017,7660,1502,Marco D&#039;Alessandro,h,ML,645.0,1.0,0.0,9.0,1.0,0.0,1.1421815417706964,0.8908114787191151,2.5,3.817356104031205,0.0
5056,2017,7680,1502,Marco D&#039;Alessandro,h,Sub,700.0,1.0,0.0,11.0,1.0,0.0,1.4911799095571039,0.8908114787191151,2.5,4.864351207390428,0.0
5418,2017,7696,1502,Marco D&#039;Alessandro,h,Sub,751.0,1.0,1.0,12.0,1.0,0.0,1.5052642906084654,1.0426367130130527,3.5,5.05842958483845,1.0
5572,2017,7699,1502,Marco D&#039;Alessandro,a,Sub,781.0,1.0,1.0,13.0,1.0,0.0,1.5557014318183062,1.154873928055167,3.5,5.3219782235100865,0.0
5905,2017,7710,1502,Marco D&#039;Alessandro,a,FWL,798.0,1.0,1.0,13.0,1.0,0.0,1.5557014318183062,1.154873928055167,3.5,5.3219782235100865,0.0
6365,2017,7724,1502,Marco D&#039;Alessandro,h,ML,888.0,1.0,1.0,13.0,1.0,0.0,1.5557014318183062,1.154873928055167,3.5,5.3219782235100865,0.0
6683,2017,7730,1502,Marco D&#039;Alessandro,a,AMR,978.0,1.0,1.0,15.0,1.0,0.0,1.6769152851775286,1.2419001664966343,3.5,5.772646022029221,0.0
8260,2017,7763,1502,Marco D&#039;Alessandro,h,Sub,1040.0,1.0,1.0,16.0,1.0,0.0,1.744275835342705,1.2419001664966343,3.5,5.97472767252475,0.0
