,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
884,2017,7532,1342,Nicolás Spolli,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2829,2017,7620,1342,Nicolás Spolli,a,DC,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3092,2017,7633,1342,Nicolás Spolli,h,DC,161.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
3447,2017,7643,1342,Nicolás Spolli,a,DC,251.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
3670,2017,7651,1342,Nicolás Spolli,h,DC,341.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0
3846,2017,7663,1342,Nicolás Spolli,a,DC,431.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0
3997,2017,7671,1342,Nicolás Spolli,h,DC,474.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0
4335,2017,7688,1342,Nicolás Spolli,a,DC,564.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0
4552,2017,7697,1342,Nicolás Spolli,h,DC,654.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
4838,2017,7703,1342,Nicolás Spolli,a,DC,744.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
5107,2017,7718,1342,Nicolás Spolli,h,DC,834.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0
5518,2017,7733,1342,Nicolás Spolli,a,DC,924.0,0.0,0.0,2.0,5.0,0.0,0.1220898926258087,0.0784095972776413,0.0,-2.0553207248449326,0.0
5646,2017,7745,1342,Nicolás Spolli,h,DC,1014.0,0.0,0.0,2.0,6.0,0.0,0.1220898926258087,0.0883968640118837,0.0,-2.54533345811069,0.0
5844,2017,7755,1342,Nicolás Spolli,a,DC,1104.0,0.0,0.0,2.0,6.0,0.0,0.1220898926258087,0.0883968640118837,0.0,-2.54533345811069,0.0
6295,2017,7773,1342,Nicolás Spolli,h,DC,1194.0,0.0,0.0,3.0,6.0,0.0,0.1591951735317706,0.0883968640118837,0.0,-2.434017615392804,0.0
6585,2017,7784,1342,Nicolás Spolli,a,DC,1284.0,0.0,0.0,4.0,6.0,0.0,0.179091790691018,0.0883968640118837,0.0,-2.374327763915062,0.0
6733,2017,7796,1342,Nicolás Spolli,h,DC,1374.0,0.0,0.0,5.0,6.0,0.0,0.4761268291622399,0.0883968640118837,0.0,-1.4832226485013962,0.0
7073,2017,7804,1342,Nicolás Spolli,a,DC,1464.0,0.0,0.0,6.0,6.0,0.0,0.5075470376759766,0.0883968640118837,0.0,-1.388962022960186,0.0
7254,2017,7810,1342,Nicolás Spolli,h,DC,1554.0,0.0,0.0,6.0,6.0,0.0,0.5075470376759766,0.0883968640118837,0.0,-1.388962022960186,0.0
8303,2017,7853,1342,Nicolás Spolli,h,DC,1644.0,0.0,0.0,6.0,6.0,0.0,0.5075470376759766,0.0883968640118837,0.0,-1.388962022960186,0.0
8416,2017,7861,1342,Nicolás Spolli,a,Sub,1734.0,0.0,0.0,6.0,7.0,0.0,0.5075470376759766,0.0883968640118837,0.0,-1.888962022960186,0.0
