,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
4727,2017,7669,6174,Nikola Milenkovic,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5976,2017,7713,6174,Nikola Milenkovic,h,Sub,84.0,0.0,0.0,1.0,0.0,0.0,0.0267499107867479,0.037323921918869,0.0,0.1175736542791128,0.0
6261,2017,7721,6174,Nikola Milenkovic,a,DC,99.0,0.0,0.0,1.0,0.0,0.0,0.0267499107867479,0.037323921918869,0.0,0.1175736542791128,0.0
6413,2017,7735,6174,Nikola Milenkovic,h,DR,189.0,0.0,0.0,1.0,0.0,0.0,0.0267499107867479,0.037323921918869,0.0,0.1175736542791128,0.0
6901,2017,7743,6174,Nikola Milenkovic,a,DR,279.0,0.0,0.0,2.0,0.0,0.0,0.0719925258308648,0.037323921918869,0.0,0.2533014994114637,0.0
7359,2017,7770,6174,Nikola Milenkovic,h,DR,364.0,0.0,0.0,2.0,0.0,1.0,0.0719925258308648,0.06922738999128339,-0.5,-0.21479503251612192,-0.5
7792,2017,7783,6174,Nikola Milenkovic,a,DR,423.0,0.0,0.0,3.0,0.0,1.0,0.0928175970911978,0.06922738999128339,-0.5,-0.15231981873512282,0.0
8209,2017,7762,6174,Nikola Milenkovic,a,DC,513.0,0.0,0.0,3.0,0.0,1.0,0.0928175970911978,0.09898085892200459,-0.5,-0.12256634980440162,0.0
8440,2017,7803,6174,Nikola Milenkovic,a,Sub,603.0,0.0,0.0,3.0,0.0,1.0,0.0928175970911978,0.09898085892200459,-0.5,-0.12256634980440162,0.0
8749,2017,7816,6174,Nikola Milenkovic,h,DC,624.0,0.0,0.0,3.0,0.0,1.0,0.0928175970911978,0.09898085892200459,-0.5,-0.12256634980440162,0.0
9084,2017,7825,6174,Nikola Milenkovic,h,DR,714.0,0.0,0.0,4.0,0.0,1.0,0.3860604688525198,0.09898085892200459,-0.5,0.7571622654795644,0.0
9239,2017,7832,6174,Nikola Milenkovic,a,DC,804.0,0.0,0.0,5.0,0.0,1.0,0.4023250229656694,0.09898085892200459,-0.5,0.8059559278190134,0.0
9701,2017,7845,6174,Nikola Milenkovic,h,DC,894.0,0.0,0.0,5.0,0.0,1.0,0.4023250229656694,0.09898085892200459,-0.5,0.8059559278190134,0.0
9936,2017,7853,6174,Nikola Milenkovic,a,DC,984.0,0.0,0.0,6.0,0.0,1.0,0.42378233186900593,0.09898085892200459,-0.5,0.8703278545290228,0.0
10091,2017,7859,6174,Nikola Milenkovic,h,DC,1074.0,0.0,0.0,7.0,0.0,1.0,0.48424417711794354,0.09898085892200459,-0.5,1.0517133902758355,0.0
10465,2017,7873,6174,Nikola Milenkovic,a,DR,1164.0,0.0,0.0,9.0,0.0,1.0,0.6128764543682335,0.09898085892200459,-0.5,1.4376102220267053,0.0
