,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
427,2016,949,1359,Aleksandar Tonev,h,FWR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1364,2016,988,1359,Aleksandar Tonev,h,Sub,90.0,0.0,0.0,3.0,0.0,0.0,0.0460116155445575,0.0,0.0,0.1380348466336727,0.0
1557,2016,996,1359,Aleksandar Tonev,a,FWR,133.0,0.0,0.0,3.0,1.0,0.0,0.0460116155445575,0.0,0.0,-0.3619651533663273,0.0
1820,2016,1007,1359,Aleksandar Tonev,a,FWR,209.0,0.0,0.0,8.0,1.0,0.0,0.2599131800234317,0.0,0.0,0.27973954007029533,0.0
1991,2016,1015,1359,Aleksandar Tonev,h,FWR,279.0,0.0,0.0,9.0,1.0,0.0,0.32029686123132695,0.0,0.0,0.46089058369398117,0.0
5361,2016,3570,1359,Aleksandar Tonev,h,AMC,334.0,0.0,0.0,10.0,1.0,0.0,0.33807964622974385,0.0,0.0,0.5142389386892319,0.0
5428,2016,3574,1359,Aleksandar Tonev,h,MR,412.0,0.0,0.0,11.0,1.0,0.0,0.3591432347893713,0.0,0.0,0.5774297043681145,0.0
5653,2016,3583,1359,Aleksandar Tonev,a,Sub,493.0,0.0,0.0,15.0,1.0,0.0,0.41942157968878724,0.0,0.0,0.7582647390663624,0.0
6633,2016,3623,1359,Aleksandar Tonev,h,FW,520.0,0.0,0.0,15.0,1.0,0.0,0.41942157968878724,0.0,0.0,0.7582647390663624,0.0
8059,2016,3685,1359,Aleksandar Tonev,a,Sub,573.0,0.0,0.0,16.0,1.0,0.0,0.43032228015363194,0.0155877731740474,0.0,0.8065546136349439,0.0
8558,2016,3705,1359,Aleksandar Tonev,a,FW,598.0,1.0,0.0,18.0,2.0,0.0,0.46195407025516005,0.0155877731740474,3.0,0.40144998393952835,3.0
8810,2016,3716,1359,Aleksandar Tonev,h,AMC,657.0,1.0,0.0,19.0,2.0,0.0,0.49286764673888656,0.0155877731740474,3.0,0.49419071339070786,0.0
