,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
4894,2014,4925,3814,Samuel Eto&#039;o,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5046,2014,4932,3814,Samuel Eto&#039;o,h,Sub,19.0,0.0,0.0,1.0,0.0,0.0,0.1024304181337356,0.009319650940597,0.0,0.316610905341804,0.0
5357,2014,4945,3814,Samuel Eto&#039;o,a,FW,37.0,0.0,0.0,2.0,0.0,0.0,0.1331048365682362,0.009319650940597,0.0,0.408634160645306,0.0
5684,2014,4883,3814,Samuel Eto&#039;o,a,FWL,127.0,0.0,1.0,7.0,0.0,0.0,0.2240881156176327,0.3865787563845514,1.0,1.0588431032374501,1.0
5807,2014,4889,3814,Samuel Eto&#039;o,h,FW,217.0,0.0,1.0,12.0,1.0,0.0,0.4077753853052853,0.44179128017276514,1.0,1.1651174360886216,0.0
6268,2014,4908,3814,Samuel Eto&#039;o,a,FWL,305.0,1.0,1.0,16.0,1.0,0.0,0.6574011575430629,0.6993386587128041,4.0,2.171542131341994,3.0
6395,2014,4914,3814,Samuel Eto&#039;o,h,FWR,395.0,1.0,1.0,17.0,1.0,0.0,0.6884748153388497,0.9124673595651982,4.0,2.4778918055817485,0.0
6710,2014,4837,3814,Samuel Eto&#039;o,a,FWL,485.0,1.0,1.0,17.0,1.0,0.0,0.6884748153388497,0.9977484261617062,4.0,2.5631728721782565,0.0
6987,2014,4849,3814,Samuel Eto&#039;o,a,AML,575.0,1.0,1.0,19.0,1.0,0.0,0.7883060313761231,1.1769464081153271,4.0,3.0418645022436976,0.0
7022,2014,4851,3814,Samuel Eto&#039;o,h,AMC,665.0,1.0,2.0,22.0,1.0,0.0,0.8472648151218887,1.595771259628236,5.0,3.6375657049939036,1.0
7482,2014,4870,3814,Samuel Eto&#039;o,a,AML,755.0,1.0,2.0,23.0,1.0,0.0,0.8920822590589519,1.7382548963651059,5.0,3.914501673541963,0.0
7685,2014,4879,3814,Samuel Eto&#039;o,h,Sub,845.0,1.0,2.0,26.0,1.0,0.0,0.9440463259816165,1.755599155090749,5.0,4.0877381330356,0.0
7731,2014,4779,3814,Samuel Eto&#039;o,h,FW,886.0,1.0,2.0,28.0,1.0,0.0,1.0107272043824191,1.8541168561205266,5.0,4.3862984692677855,0.0
8058,2014,4792,3814,Samuel Eto&#039;o,a,FW,976.0,1.0,2.0,30.0,1.0,0.0,1.1296119242906566,1.9866940220817921,5.0,4.8755297949537635,0.0
8238,2014,4800,3814,Samuel Eto&#039;o,h,FW,1032.0,1.0,2.0,32.0,1.0,0.0,1.2670084536075588,2.028617947362363,5.0,5.329643308185041,0.0
8501,2014,4811,3814,Samuel Eto&#039;o,a,Sub,1093.0,1.0,2.0,34.0,1.0,0.0,1.6259079873561855,2.0491915354505177,5.0,6.426915497519076,0.0
8748,2014,4822,3814,Samuel Eto&#039;o,h,FW,1124.0,2.0,2.0,35.0,1.0,0.0,1.6907260790467258,2.107585695572197,8.0,6.679763932712376,3.0
