,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
216,2014,5156,3937,Daniele Conti,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,2014,5115,3937,Daniele Conti,h,MC,90.0,0.0,0.0,1.0,1.0,0.0,0.0706331059336662,0.0358233675360679,-0.5,-0.2522773146629333,-0.5
691,2014,5123,3937,Daniele Conti,a,MC,180.0,0.0,0.0,1.0,2.0,0.0,0.0706331059336662,0.1521326676011084,-1.0,-0.6359680145978928,-0.5
984,2014,5134,3937,Daniele Conti,h,MC,270.0,0.0,0.0,1.0,2.0,0.0,0.0706331059336662,0.17047049291431882,-1.0,-0.6176301892846824,0.0
2406,2014,5105,3937,Daniele Conti,h,MC,360.0,0.0,0.0,3.0,2.0,0.0,0.2954669669270515,0.17047049291431882,-1.0,0.05687139369547356,0.0
2781,2014,5039,3937,Daniele Conti,a,MC,432.0,0.0,0.0,6.0,2.0,0.0,0.3742228001356124,0.28299432434141614,-1.0,0.40566272474825366,0.0
2850,2014,5042,3937,Daniele Conti,h,MC,522.0,0.0,0.0,7.0,3.0,0.0,0.4488968402147292,0.28299432434141614,-1.5,0.12968484498560418,-0.5
3492,2014,5065,3937,Daniele Conti,h,MC,612.0,0.0,0.0,10.0,4.0,0.0,0.8213474303483962,0.299940217286348,-2.0,0.7639825083315371,-0.5
3855,2014,5008,3937,Daniele Conti,h,MC,702.0,0.0,0.0,12.0,4.0,0.0,0.8482565265148877,0.5879673250019547,-2.0,1.1327369045466185,0.0
4036,2014,5014,3937,Daniele Conti,a,MC,792.0,0.0,0.0,12.0,5.0,0.0,0.8482565265148877,0.6613568402826782,-2.5,0.706126419827342,-0.5
4189,2014,5020,3937,Daniele Conti,h,MC,882.0,0.0,0.0,14.0,6.0,0.0,0.8750413507223128,0.767929513007402,-3.0,0.39305356517434126,-0.5
4565,2014,4960,3937,Daniele Conti,a,MC,972.0,0.0,0.0,14.0,6.0,0.0,0.8750413507223128,0.8114026933908458,-3.0,0.43652674555778503,0.0
5963,2014,4931,3937,Daniele Conti,h,MC,997.0,0.0,0.0,14.0,6.0,1.0,0.8750413507223128,0.8114026933908458,-3.5,-0.06347325444221497,-0.5
6226,2014,4940,3937,Daniele Conti,a,MC,1087.0,0.0,0.0,17.0,6.0,1.0,0.9570699110627173,0.8408330213278528,-3.5,0.21204275451600552,0.0
6604,2014,4954,3937,Daniele Conti,h,MC,1177.0,0.0,0.0,19.0,7.0,1.0,0.9890032969415187,0.8408330213278528,-4.0,-0.1921570878475904,-0.5
6688,2014,4881,3937,Daniele Conti,h,MC,1267.0,0.0,0.0,20.0,7.0,1.0,1.0414746627211569,0.8408330213278528,-4.0,-0.0347429905086756,0.0
8555,2014,4858,3937,Daniele Conti,h,MC,1357.0,1.0,0.0,24.0,8.0,1.0,1.2088174298405645,0.928979961201548,-1.5,0.05543225072324269,2.5
9075,2014,4876,3937,Daniele Conti,a,Sub,1447.0,1.0,0.0,25.0,9.0,1.0,1.232299445196986,0.928979961201548,-2.0,-0.3741217032074929,-0.5
