,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2014,2014,5104,1556,Guglielmo Stendardo,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2233,2014,5034,1556,Guglielmo Stendardo,a,DC,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
2375,2014,5040,1556,Guglielmo Stendardo,a,DC,180.0,0.0,0.0,1.0,2.0,0.0,0.0280464515089988,0.0,0.0,-0.9158606454730034,0.0
2594,2014,5050,1556,Guglielmo Stendardo,h,DC,270.0,0.0,0.0,2.0,2.0,0.0,0.0375343728810548,0.0,0.0,-0.8873968813568354,0.0
2883,2014,5062,1556,Guglielmo Stendardo,a,DC,360.0,0.0,0.0,3.0,2.0,0.0,0.1605447847396134,0.0,0.0,-0.5183656457811594,0.0
3195,2014,5006,1556,Guglielmo Stendardo,h,DC,450.0,0.0,0.0,3.0,2.0,0.0,0.1605447847396134,0.0,0.0,-0.5183656457811594,0.0
3322,2014,5011,1556,Guglielmo Stendardo,a,DC,540.0,1.0,0.0,6.0,2.0,0.0,1.5518538076430557,0.0,3.0,3.6555614229291677,3.0
3683,2014,5027,1556,Guglielmo Stendardo,h,DC,630.0,1.0,0.0,6.0,2.0,0.0,1.5518538076430557,0.0,3.0,3.6555614229291677,0.0
3909,2014,4963,1556,Guglielmo Stendardo,a,DC,720.0,1.0,0.0,6.0,2.0,0.0,1.5518538076430557,0.0074702934361994,3.0,3.663031716365367,0.0
4057,2014,4970,1556,Guglielmo Stendardo,h,DC,810.0,1.0,0.0,6.0,2.0,0.0,1.5518538076430557,0.0074702934361994,3.0,3.663031716365367,0.0
4299,2014,4980,1556,Guglielmo Stendardo,a,DC,900.0,1.0,0.0,6.0,2.0,0.0,1.5518538076430557,0.0074702934361994,3.0,3.663031716365367,0.0
4532,2014,4990,1556,Guglielmo Stendardo,a,DC,990.0,1.0,0.0,6.0,3.0,0.0,1.5518538076430557,0.0074702934361994,3.0,3.163031716365367,0.0
4827,2014,4923,1556,Guglielmo Stendardo,h,DC,1080.0,1.0,0.0,6.0,3.0,0.0,1.5518538076430557,0.0074702934361994,3.0,3.163031716365367,0.0
4980,2014,4929,1556,Guglielmo Stendardo,a,DC,1170.0,1.0,0.0,7.0,3.0,0.0,2.217144401744008,0.0074702934361994,3.0,5.158903498668224,0.0
5270,2014,4942,1556,Guglielmo Stendardo,h,DC,1260.0,1.0,0.0,7.0,3.0,0.0,2.217144401744008,0.0074702934361994,3.0,5.158903498668224,0.0
5664,2014,4883,1556,Guglielmo Stendardo,h,DC,1350.0,1.0,0.0,7.0,3.0,0.0,2.217144401744008,0.0074702934361994,3.0,5.158903498668224,0.0
6129,2014,4903,1556,Guglielmo Stendardo,h,DC,1440.0,2.0,0.0,9.0,4.0,0.0,2.9494920689612627,0.0074702934361994,6.0,6.8559465003199875,3.0
6469,2014,4917,1556,Guglielmo Stendardo,a,DC,1530.0,2.0,0.0,9.0,4.0,0.0,2.9494920689612627,0.0074702934361994,6.0,6.8559465003199875,0.0
6594,2014,4833,1556,Guglielmo Stendardo,h,DC,1620.0,2.0,0.0,10.0,4.0,0.0,2.962503796443343,0.0074702934361994,6.0,6.894981682766229,0.0
6946,2014,4848,1556,Guglielmo Stendardo,h,DC,1710.0,2.0,0.0,10.0,4.0,0.0,2.962503796443343,0.0074702934361994,6.0,6.894981682766229,0.0
7170,2014,4857,1556,Guglielmo Stendardo,a,DC,1800.0,2.0,0.0,10.0,4.0,0.0,2.962503796443343,0.0074702934361994,6.0,6.894981682766229,0.0
7300,2014,4863,1556,Guglielmo Stendardo,h,DC,1890.0,2.0,0.0,10.0,5.0,0.0,2.962503796443343,0.0074702934361994,6.0,6.394981682766229,0.0
8301,2014,4803,1556,Guglielmo Stendardo,h,DC,1980.0,2.0,0.0,11.0,5.0,0.0,3.0601110365241766,0.7111795977689326,6.0,7.391512707341462,0.0
8598,2014,4815,1556,Guglielmo Stendardo,a,Sub,2070.0,2.0,0.0,12.0,5.0,0.0,3.1658672373741865,0.7111795977689326,6.0,7.708781309891492,0.0
