,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
84,2014,5152,1201,Dusan Basta,a,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,2014,5112,1201,Dusan Basta,h,DR,90.0,0.0,0.0,2.0,0.0,0.0,0.0738732665777206,0.0,0.0,0.2216197997331619,0.0
556,2014,5122,1201,Dusan Basta,a,DR,180.0,0.0,0.0,2.0,0.0,0.0,0.0738732665777206,0.0135727347806096,0.0,0.2351925345137715,0.0
2618,2014,5051,1201,Dusan Basta,h,DR,227.0,0.0,0.0,2.0,0.0,0.0,0.0738732665777206,0.0411125114187598,0.0,0.2627323111519217,0.0
2857,2014,5061,1201,Dusan Basta,a,DR,314.0,0.0,0.0,3.0,1.0,0.0,0.0860141608864068,0.1108850603923201,0.0,-0.1310724569484592,0.0
3158,2014,5004,1201,Dusan Basta,a,DR,404.0,0.0,0.0,3.0,1.0,0.0,0.0860141608864068,0.1108850603923201,0.0,-0.1310724569484592,0.0
3309,2014,5011,1201,Dusan Basta,h,DR,494.0,0.0,0.0,6.0,1.0,0.0,0.16989551670849312,0.1108850603923201,0.0,0.1205716105177998,0.0
3740,2014,5029,1201,Dusan Basta,a,DR,584.0,0.0,1.0,6.0,1.0,0.0,0.16989551670849312,0.4682285552844404,1.0,0.4779151054099201,1.0
3752,2014,4957,1201,Dusan Basta,h,DR,674.0,0.0,1.0,6.0,1.0,0.0,0.16989551670849312,0.4682285552844404,1.0,0.4779151054099201,0.0
4160,2014,4974,1201,Dusan Basta,a,DR,764.0,0.0,1.0,6.0,2.0,0.0,0.16989551670849312,0.6070651477202772,1.0,0.1167516978457569,0.0
4264,2014,4979,1201,Dusan Basta,h,DR,854.0,0.0,1.0,6.0,2.0,0.0,0.16989551670849312,0.7337728058919308,1.0,0.2434593560174106,0.0
4472,2014,4988,1201,Dusan Basta,h,DR,944.0,0.0,1.0,10.0,2.0,0.0,0.2394759897142647,1.1770529067143796,1.0,0.8954808758571742,0.0
4789,2014,4921,1201,Dusan Basta,a,DR,1034.0,0.0,1.0,10.0,2.0,0.0,0.2394759897142647,1.2060933979228137,1.0,0.9245213670656083,0.0
5105,2014,4935,1201,Dusan Basta,h,DR,1124.0,0.0,1.0,10.0,2.0,0.0,0.2394759897142647,1.2060933979228137,1.0,0.9245213670656083,0.0
5324,2014,4944,1201,Dusan Basta,a,DR,1214.0,0.0,1.0,10.0,2.0,0.0,0.2394759897142647,1.3228728966787455,1.0,1.0413008658215401,0.0
5986,2014,4897,1201,Dusan Basta,h,DR,1304.0,0.0,1.0,11.0,2.0,0.0,0.2505021244287489,1.4743169294670222,1.0,1.2258233027532695,0.0
6212,2014,4906,1201,Dusan Basta,a,DR,1394.0,0.0,1.0,11.0,2.0,0.0,0.2505021244287489,1.4743169294670222,1.0,1.2258233027532695,0.0
6366,2014,4913,1201,Dusan Basta,h,DR,1484.0,0.0,1.0,12.0,3.0,0.0,0.2629046821966765,1.4976117229089139,1.0,0.7863257694989441,0.0
6560,2014,4831,1201,Dusan Basta,a,DR,1574.0,0.0,2.0,12.0,3.0,0.0,0.2629046821966765,1.6143084308132527,2.0,0.9030224774032829,1.0
7048,2014,4852,1201,Dusan Basta,a,DR,1664.0,0.0,2.0,12.0,4.0,0.0,0.2629046821966765,1.6535648209974168,2.0,0.442278867587447,0.0
7394,2014,4867,1201,Dusan Basta,h,DR,1754.0,0.0,2.0,13.0,4.0,0.0,0.29591227788478114,1.6535648209974168,2.0,0.5413016546517608,0.0
7532,2014,4873,1201,Dusan Basta,h,DR,1844.0,0.0,2.0,14.0,4.0,0.0,0.3542036646977064,1.6899106455966828,2.0,0.7525216396898029,0.0
7855,2014,4784,1201,Dusan Basta,a,DR,1934.0,0.0,2.0,14.0,4.0,0.0,0.3542036646977064,1.6899106455966828,2.0,0.7525216396898029,0.0
8158,2014,4797,1201,Dusan Basta,h,DR,2024.0,0.0,2.0,15.0,5.0,0.0,0.3653787868097421,2.0092724217101927,2.0,0.6054087821394203,0.0
8241,2014,4800,1201,Dusan Basta,a,DR,2114.0,0.0,2.0,17.0,5.0,0.0,0.45911445934325423,2.037745901383459,2.0,0.915089279413223,0.0
8646,2014,4818,1201,Dusan Basta,h,DR,2204.0,0.0,2.0,18.0,5.0,0.0,0.47727807704359254,2.0790864387527104,2.0,1.0109206698834894,0.0
8802,2014,4824,1201,Dusan Basta,a,MR,2294.0,0.0,2.0,19.0,5.0,0.0,0.5011009080335493,2.1568447286263104,2.0,1.16014745272696,0.0
