,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
27,2014,5150,3817,Ashley Cole,h,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,2014,5109,3817,Ashley Cole,a,DL,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
572,2014,5123,3817,Ashley Cole,h,DL,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
952,2014,5139,3817,Ashley Cole,h,DL,270.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
1429,2014,5079,3817,Ashley Cole,h,DL,360.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
1991,2014,5103,3817,Ashley Cole,h,DL,450.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0128623703494668,0.0,-0.4871376296505332,0.0
2573,2014,5049,3817,Ashley Cole,h,DL,540.0,0.0,0.0,0.0,1.0,0.0,0.0,0.033150636591017205,0.0,-0.4668493634089828,0.0
2609,2014,5050,3817,Ashley Cole,a,DL,630.0,0.0,0.0,0.0,1.0,0.0,0.0,0.033150636591017205,0.0,-0.4668493634089828,0.0
5294,2014,4943,3817,Ashley Cole,h,DL,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.033150636591017205,0.0,-0.4668493634089828,0.0
5493,2014,4951,3817,Ashley Cole,a,DL,810.0,0.0,0.0,2.0,1.0,0.0,0.1737526357173919,0.0973152304068207,0.0,0.11857313755899662,0.0
5884,2014,4892,3817,Ashley Cole,a,DL,900.0,0.0,0.0,4.0,2.0,0.0,0.2350924387574195,0.2018546098843216,0.0,-0.09286807384341958,0.0
